ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,res
2017-04-03 09:00:00,84724.0,-68.50073734355885,-78.86197745462837,69.9256899562567,-28.01382837007301,-367.57264169581384,-100.5090032501128,-156.36462866137003,-65.330468087849,85519.22759490715,0.0
2017-04-03 12:00:00,84638.0,-56.77155885697067,-146.2957033418617,82.75373964900898,-35.547644233420755,-402.4034804936289,-103.17725989703207,-153.68416155176124,-66.10686749785889,85519.23293622352,1.4551915228366852e-11
2017-04-03 15:00:00,84764.0,78.76016075486272,-107.93809338561249,68.53694872046108,-36.90162197589477,-434.2260771888007,-105.6120915601047,-150.97423321069994,-66.88324788234749,85519.23825572812,0.0
2017-04-03 18:00:00,84748.0,-6.750930349734482,21.094162519242758,33.84077204636245,-33.065492055854314,-462.66251590746583,-107.80466437207905,-148.23526959739235,-67.65961571184906,85519.24355342877,0.0
2017-04-03 21:00:00,84720.0,-96.70952791547775,144.05384554472647,-10.065371858614371,-25.50883982922153,-487.3691166806058,-109.74608145472442,-145.46775968226686,-68.43597745714104,85519.24882933332,0.0
2017-04-04 00:00:00,84836.0,49.87149657314712,166.10000181191697,-52.210153689137954,-15.652870213953882,-508.0505799772365,-111.42719192598972,-142.6724464396071,-69.21233958882716,85519.25408344969,0.0
2017-04-04 03:00:00,84774.0,98.90293943728057,92.63445596663692,-84.78869047028243,-4.7587962077090324,-524.5715981868123,-112.8387740530894,-139.8501436941011,-69.98870857765016,85519.25931578573,0.0
2017-04-04 06:00:00,84618.0,90.04286003041226,-35.47479185824927,-103.20953774641605,5.955101425839563,-536.8397959326504,-113.97160414355953,-137.00166723046252,-70.765090894179,85519.26452634926,0.0
2017-04-04 09:00:00,84300.0,-108.30651509984592,-157.4580882073142,-103.63523147898901,15.394900406035699,-544.7789964207799,-114.81645850493629,-134.12783283319672,-71.5414930091043,85519.26971514813,0.0
2017-04-04 12:00:00,84312.0,-95.1015467050576,-185.091554526614,-82.7733356961432,22.973741546805694,-548.3706956843276,-115.36411985766877,-131.22944987412177,-72.31792139306452,85519.2748821902,-1.4551915228366852e-11
2017-04-04 15:00:00,84556.0,29.256171796113243,-116.00004886195981,-40.212607722231894,28.29427481188281,-547.607704411791,-115.60842946003375,-128.3073011186838,-73.09438251666343,85519.28002748337,0.0
2017-04-04 18:00:00,84714.0,0.76611001915461,5.180063645227306,15.05188851415463,30.980731197198935,-542.4755359312925,-115.55538152040916,-125.36214410876265,-73.87088285067844,85519.28515103541,0.0
2017-04-04 21:00:00,84980.0,87.74720589120864,115.81642907689114,71.7016095494479,30.680609189891637,-532.9799391306007,-115.21406310304792,-122.39467546233993,-74.64742886571332,85519.29025285428,-1.4551915228366852e-11
2017-04-05 00:00:00,85070.0,38.55745005193661,195.23764080204703,118.41801192035736,27.07580102059278,-519.1610566409436,-114.59357626439335,-119.40557680496372,-75.42402703238918,85519.29533294776,0.0
2017-04-05 03:00:00,85200.0,132.8384990293242,190.61535910705757,144.75581935806883,19.907262044954347,-501.1180942186042,-113.70302306099296,-116.39552976216468,-76.2006838213271,85519.3003913237,-1.4551915228366852e-11
2017-04-05 06:00:00,84954.0,-20.178580465201087,82.01798355800655,145.50660514116643,9.237253760465471,-478.99456277235623,-112.55150554941166,-113.36521595936931,-76.97740570335668,85519.30542799007,-1.4551915228366852e-11
2017-04-05 09:00:00,84680.0,-137.84943939918907,-68.8557628254422,123.37674005711068,-3.708262108462987,-453.05607672131566,-111.14812578617958,-110.31531702212567,-77.75419914897742,85519.31044295458,0.0
2017-04-05 12:00:00,84526.0,-159.81130589307804,-180.04636162867365,83.08200462196415,-17.66142593046144,-423.5987763622235,-109.50198582780949,-107.24651457603392,-78.5310706288799,85519.3154362252,0.0
2017-04-05 15:00:00,84488.0,-160.8357067202982,-186.4599957840162,29.40458659169255,-31.41599109588102,-390.9235962100551,-107.62218773097055,-104.15949024641631,-79.30802661378947,85519.32040780975,-1.4551915228366852e-11
2017-04-05 18:00:00,84568.0,-138.1235353424643,-95.39094104448421,-32.05586676859511,-43.73954395829503,-355.3576378168939,-105.51783355208865,-101.05492565897724,-80.08507357425776,85519.32535771605,0.0
2017-04-05 21:00:00,84842.0,33.16465134730095,34.55635223273388,-92.4298701583981,-53.3601757714332,-317.26749783435406,-103.1980253477287,-97.9335024390737,-80.86221798099272,85519.33028595195,0.0
2017-04-06 00:00:00,85124.0,221.3354806910497,138.4927899464378,-142.030478768194,-58.97202672014498,-277.0537239831212,-100.67186517440346,-94.79590221232326,-81.63946630465021,85519.33519252534,1.4551915228366852e-11
2017-04-06 03:00:00,85140.0,193.78289740898583,164.4419606173731,-171.0884102348936,-59.351986101935196,-235.11645242480984,-97.94845508871258,-91.6428066042392,-82.41682501590347,85519.34007744414,0.0
2017-04-06 06:00:00,84964.0,13.990846239513086,114.4834645743341,-171.63906164622352,-53.64731427240537,-191.82678063845105,-95.03689714723834,-88.4748972401959,-83.19430058539096,85519.34494071607,-1.4551915228366852e-11
2017-04-06 09:00:00,84752.0,-191.14564409784504,18.99985039508608,-144.92475598301615,-41.521255876206,-147.5469281510016,-91.9462934064761,-85.29285574591515,-83.9718994837338,85519.34978234912,-1.4551915228366852e-11
2017-04-06 12:00:00,84842.0,-114.80391820908014,-82.55225816422879,-97.67017535716832,-24.15682982132728,-102.63868294800393,-88.68574592283446,-82.09736374677126,-84.74962818162257,85519.35460235103,1.4551915228366852e-11
2017-04-06 15:00:00,85158.0,124.91664108110736,-137.321212881021,-38.696147987978165,-3.113895156320121,-57.46383301444461,-85.26435675298251,-78.88910286831234,-85.52749314978261,85519.35940072974,0.0
2017-04-06 18:00:00,85320.0,125.55187717427305,-112.02548435447893,23.111390500853123,20.047689070368804,-12.384166335709718,-81.6912279536415,-75.66875473596482,-86.30550085878295,85519.36417749309,0.0
2017-04-06 21:00:00,85414.0,-0.3408950732821098,-23.487586344566875,79.94907619152394,43.76806381027544,32.23852910284939,-77.97546158108102,-72.4370009753984,-87.08365777920991,85519.36893264888,1.4551915228366852e-11
2017-04-07 00:00:00,85548.0,-77.42403230642154,70.41899596321075,124.28418809317225,66.4873700148489,76.04246531603772,-74.12615969193543,-69.19452321203953,-87.86197038192785,85519.37366620505,0.0
2017-04-07 03:00:00,85822.0,61.5249179912429,111.9359682224565,148.58400521436272,86.64574863560775,118.66585431852127,-70.15242434278699,-65.94200307140153,-88.64044513740149,85519.37837816941,-1.4551915228366852e-11
2017-04-07 06:00:00,85836.0,45.73896700677212,79.54778789538445,147.0053718971128,102.74046481149783,159.74690812491394,-66.06335759011375,-62.68012217899771,-89.41908851640828,85519.38306854984,0.0
2017-04-07 09:00:00,85696.0,-45.49330419017263,-0.5196162964753334,121.54827852111569,113.62859650173618,198.923838749986,-61.86806149053271,-59.40956216023719,-90.19790698958674,85519.38773735416,0.0
2017-04-07 12:00:00,85706.0,29.08075178782983,-72.61587457736776,80.2418196213178,118.74961013827289,235.83485820854244,-57.575638100417684,-56.13100464091123,-90.97690702750585,85519.39238459025,0.0
