ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,IMF14,res
2018-06-04 21:00:00,0.0,0.006365305525240297,0.0016835195635984364,-0.00332183388109666,-0.004918320816914016,-0.0022597604727075276,0.00043549072144521186,-0.0018234636686974132,0.010066617301185778,-0.0068038615772956935,-0.0073678455993535785,-0.00046296316378648084,0.0018559457702864981,0.0008674260226181741,0.005683744275476973,1.734723475976807e-18
2018-06-05 00:00:00,0.0,0.00029750771988503393,0.007813043294364077,-0.002293529920200798,-0.004992653253498245,-0.003662137574648328,0.0006146093845649022,-0.001596763301956718,0.010075771454913942,-0.0068819486171691245,-0.007379511124107372,-0.00041356226209814193,0.001863883658611939,0.0008724939758511916,0.005682796565487641,-2.6020852139652106e-18
2018-06-05 03:00:00,0.0,-0.004478400560867425,0.0113113478894871,-0.0013034114869395206,-0.004035832123143366,-0.00466534234396451,0.0006595316784075993,-0.0012682596955028095,0.01003865801365893,-0.006936734127924378,-0.007388619156604279,-0.0003641632063733073,0.0018718172542811777,0.00087755871752091,0.005681849147963878,-8.673617379884035e-19
2018-06-05 06:00:00,0.0,-0.007115066599356754,0.01182933195208038,-0.0005596238174255297,-0.002368378990618513,-0.0052226310925113225,0.0005600492489693082,-0.0008446259746367942,0.009956428447964138,-0.00696884311073773,-0.007395140672424734,-0.00031476809349931457,0.0018797464435054327,0.0008826202355960363,0.005680902023095396,0.0
2018-06-05 09:00:00,0.0,-0.009050602072551222,0.011043499373481277,3.555369137733358e-06,-0.00029398385193866707,-0.005364903030246434,0.0003533177988858093,-0.00033309640245638995,0.009830237971769863,-0.006978854613525879,-0.007399096596104887,-0.00026537876806428115,0.0018876711124959484,0.0008876785180452463,0.0056799551910718836,-2.6020852139652106e-18
2018-06-05 12:00:00,0.0,-0.010383401020876126,0.008726798397327132,0.0010180913847498854,0.001882049140335256,-0.005162700539946419,0.00011588456692015868,0.00025855553113220814,0.009661241799016436,-0.006967342201445446,-0.007400513334940935,-0.00021599707465638418,0.0018955911474639396,0.0008927335528372684,0.005679008652083026,-8.673617379884035e-19
2018-06-05 15:00:00,0.0,-0.009834802557303539,0.0038238223174073068,0.002564859810582567,0.003856805586867231,-0.004684712633296778,-7.772709023170225e-05,0.0009227268471966879,0.009450595143644176,-0.00693491009078351,-0.007399386645098632,-0.00016662485786376132,0.0019035064346206731,0.0008977853279407334,0.005678062406318548,-8.673617379884035e-19
2018-06-05 18:00:00,0.0,-0.006866223792954798,-0.0035074372889073546,0.004244299443668758,0.005334487587026533,-0.003975180149491979,-0.00017795805143936574,0.001652330629880396,0.009199453219593381,-0.006882177488528751,-0.007395697292042113,-0.00011726396227457645,0.001911416860177351,0.0009028338313244066,0.0056771164539681125,0.0
2018-06-05 21:00:00,0.0,-0.0016869165519518658,-0.012278655800287598,0.005572623501572549,0.006021024488693359,-0.003025847063252703,-0.0001870729160603233,0.002439606819340965,0.008908971240804368,-0.006809752516145095,-0.007389437126760265,-6.791623247698997e-05,0.0019193223103452413,0.0009078790509569591,0.005676170795221399,8.673617379884035e-19
2018-06-06 00:00:00,0.017501831,0.016961876190416718,-0.015466452844506914,0.006064292354195032,0.0056461532072154385,-0.0018097074046353647,-0.00014162861579558952,0.0032690494238800665,0.008580304421217443,-0.006718239802336692,-0.007380601493001768,-1.8583513059140746e-05,0.0019272226713355446,0.0009129209748070813,0.0056752254302681465,-3.469446951953614e-18
2018-06-06 03:00:00,0.0,-0.017312095055757107,0.0014378582799585674,0.005301657114242517,0.004135446930910837,-0.00039206761402295077,-6.803542078565803e-05,0.004101967370112042,0.008214607974772943,-0.006608243975807712,-0.00736918573451528,3.073235139080609e-05,0.0019351178293595024,0.0009179595908434549,0.005674280359298038,8.673617379884035e-19
2018-06-06 06:00:00,0.04750061,0.01763467565863288,0.016285300094348948,0.0031468279488303568,0.0018258915769032676,0.0011054707103518497,1.1595701587686212e-05,0.004893998397797018,0.007813037115411151,-0.006480369665262269,-0.007355185195049509,8.002951628471523e-05,0.001943007670628365,0.0009229948870348097,0.005673335582500738,0.0
2018-06-06 09:00:00,0.0,-0.017915384895004927,0.00840396540064461,-0.00025061907175568656,-0.0009041963388977821,0.0026067543652584365,7.55213220082511e-05,0.005600412708628784,0.007376747057072394,-0.006335221499404534,-0.0073385952183530915,0.000129306137034418,0.0019508920813533534,0.0009280268513498155,0.005672391100065957,8.673617379884035e-19
2018-06-06 12:00:00,0.0,0.000693183437839668,-0.005609070228792782,-0.0038772256664600093,-0.0036913191516637855,0.004049992822233496,0.00010376409824973924,0.006174763229272026,0.006906893013697005,-0.00617340410693866,-0.007319411148174743,0.00017856036905175877,0.0019587709477457173,0.0009330554717571591,0.0056714469121834105,-8.673617379884035e-19
2018-06-06 15:00:00,0.0,0.013288685693032981,-0.014547884814587473,-0.006503664842597147,-0.006171979196568007,0.005373167160005309,7.835082951231822e-05,0.00656882713777504,0.006404630199225259,-0.005995522116568774,-0.0072976283282631,0.00022779036774860228,0.0019666441560166554,0.0009380807362255831,0.005670503019042753,0.0
2018-06-06 18:00:00,0.0,0.017406483948204748,-0.017413003419122174,-0.006900694210945757,-0.007983957596754,0.0065150997920967214,-1.6243761234276945e-05,0.006732009870892624,0.005871559701756355,-0.005802180156999052,-0.007273242102366847,0.000276994288536781,0.0019745115923774296,0.000943102632723735,0.005669559420833713,8.673617379884035e-19
2018-06-06 21:00:00,0.0,0.013864091348268463,-0.015927772864455732,-0.0043301903194320375,-0.008849279678724578,0.007424196580738888,-0.00018932069000418303,0.006612734283935616,0.005310491314008161,-0.005593982856933633,-0.007246247814234663,0.00032617028682813457,0.0019823731430392718,0.00094812114922033,0.005668616117745966,-8.673617379884035e-19
2018-06-07 00:00:00,0.0,0.0014332431475435345,-0.007532444851556616,-1.7236412783207896e-05,-0.008831551025821104,0.008082582365380973,-0.0004285640645685347,0.006173384575405063,0.004722407323190573,-0.0053715348450766795,-0.007216640807615207,0.0003753165180345157,0.0019902286942134117,0.000953136273684081,0.005667673109969197,8.673617379884035e-19
2018-06-07 03:00:00,0.0,-0.017847486616934253,0.007625219443503218,0.00432230374094867,-0.008175163576006193,0.0085244078610723,-0.0007036270095565496,0.005418997293808966,0.004107818378097694,-0.005135440750132321,-0.00718441642625717,0.0004244311375677797,0.001998078132111087,0.000958147994083658,0.005666730397693114,2.6020852139652106e-18
2018-06-07 06:00:00,0.04750061,0.01741470282802138,0.01754384210850381,0.006972566373708332,-0.0071716235730379385,0.008802141591480859,-0.000978220699226775,0.004377437746061894,0.00346726091592389,-0.004886305200804707,-0.007149570013909218,0.00047351230083977447,0.0020059213429435147,0.000963156298387757,0.005665787981107431,-6.938893903907228e-18
2018-06-07 09:00:00,0.0,-0.01684394923341263,0.005118827675814528,0.0067143659308917395,-0.0060456599350901365,0.008935234162902098,-0.0011924804040059343,0.003079896758003621,0.002801271373863584,-0.004624732825797995,-0.007112096914320041,0.0005225581632623349,0.0020137582129219666,0.0009681611745650544,0.005664845860401812,-3.469446951953614e-18
2018-06-07 12:00:00,0.0,0.0023923123626356305,-0.011059631379576242,0.004336244828859702,-0.004785957853618083,0.008924486157210405,-0.0012823068898970794,0.0015575651554740001,0.0021103861891110837,-0.0043513282538163445,-0.007071992471238277,0.0005715668802473089,0.0020215886282576295,0.0009731626105843187,0.005663904035765947,1.734723475976807e-18
2018-06-07 15:00:00,0.0,0.012416962554405647,-0.017238841401461116,0.0012074841660473594,-0.003380256287003745,0.008761840728482469,-0.0012027331681502783,-0.000154722433376644,0.001395141798860792,-0.004066696113563906,-0.0070292520284126175,0.0006205366072065362,0.0020294124751617576,0.0009781605944141714,0.005662962507389574,8.673617379884035e-19
2018-06-07 18:00:00,0.0,0.011333866826548484,-0.0127449881029432,-0.0015125210190559206,-0.001818835364742515,0.008437777836556179,-0.0009416901029270832,-0.0020062442792896005,0.0006560746403070603,-0.003771441033744801,-0.006983870929591759,0.0006694654995518828,0.002037229639845609,0.0009831551140233369,0.00566202127546233,-3.469446951953614e-18
2018-06-07 21:00:00,0.0,0.006002675658371443,-0.004736437483339541,-0.0035879803964007904,-8.934957796203662e-05,0.007947458815928614,-0.0005037660577582826,-0.003936928166666154,-0.0001062788493557378,-0.0034661676430632095,-0.006935844518524332,0.0007183517126951893,0.002045040008520392,0.0009881461573805032,0.005661080340173943,-8.673617379884035e-19
